2,Review,Label
3,good and interesting,5
4,"This class is very helpful to me. Currently, I'm still learning this class which makes up a lot of basic music knowledge.",5
5,like!Prof and TAs are helpful and the discussion among students are quite active. Very rewarding learning experience!,5
6,Easy to follow and includes a lot basic and important techniques to use sketchup.,5
7,Really nice teacher!I could got the point eazliy but the v,4
8,"Great course - I recommend it for all, especially IT and Business Managers!",5
9,One of the most useful course on IT Management!,5
10,"I was disappointed because the name is misleading. The course provides a good introduction & overview of the responsibilities of the CTO, but has very little specifically digital content. It deals with two-speed IT in a single short lecture, so of course the treatment is superficial. It is easy to find more in-depth material freely available, on the McKinsey website for example.",3
11,Super content. I'll definitely re-do the course,5
12,One of the excellent courses at Coursera for information technology bosses and managers.,5
13,"Is there any reason why you should not apply the course by BCG?)It's content is pretty unique and includes a high level analysis and a wide range of knowledge needed to cover all detailed aspects.Best regards,Oleg Serov",5
14,Excellent course and teachers. Congratulations!!,5
15,This is a good course for an CIO in a non technical company.,5
16,"Good content, but the course setting does (at least for me) not allow learn the content long term due to missing reading material.",3
17,Very structured approach. Thank you for sharing with me.,5
18,"Program demystifies the evolving world of CIOs in a typical global corporation.Coverage being introductory familiarizes participants nicely through some of the nuances & emerging trends.When I took the course participant numbers was fewer, so feedback was quite delayed. So one should plan to be patient to get their peer reviews.Based on peer reviews i sensed much variations in their expectations.Few sections are in French with Subtitles.Subtitle quality requires audit/review.",4
19,Very relevant and useful course designed for CIOs,5
20,This course does not say anything about digitization which is the core subject of the digital wave.,2
21,Videos that are presented in French could've been translated to English.,4
22,"The course content is quite good, though it could have been deeper in some areas.But its peer review system is not working well, if at all.Regards, An Le.",3
23,"Great piece of work, I especially liked a few 'lifehacks' for the CIO",5
24,"Excellent course, for me it was very rewarding and the terms used and the tools given were excellent, and today and I put in use in my job, Thank you for inculcating knowledge and move on",5
25,"Excellent... It is a representation of our day by day, thanks for sharing your vision, experience and advices...RegardsDaniel Damas",4
26,Very interesting and well-designed MOOC !,5
27,Excellent course! Totally recommended!,5
